Order ID,Order Date,Customer ID,Product Category,Region,Sales Channel,Payment Method,Quantity Sold,Price Per Unit,Discount Amount,Total Sales,month,quarter,year,Discount Applied
1446,2023-06-30,CUST660,Beauty,North,Online,Debit Card,3.0,324.53,5.56,973.5899999999999,6,2,2023,1
2479,2023-02-28,CUST776,Clothing,East,In-store,Bank Transfer,20.0,264.23,6.3,5284.6,2,1,2023,1
6356,2023-01-31,CUST858,Clothing,East,In-store,Credit Card,20.0,328.12,27.21,6562.4,1,1,2023,1
6436,2023-07-31,CUST863,Beauty,East,Online,Credit Card,4.0,473.94,25.55,1895.76,7,3,2023,1
5420,2023-02-28,CUST688,Toys,West,Online,Debit Card,10.0,453.33,33.93,4533.3,2,1,2023,1
9556,2023-10-31,CUST533,Electronics,South,In-store,Cash,20.0,364.91,41.99,7298.200000000001,10,4,2023,1
2843,2023-04-30,CUST986,Clothing,North,In-store,Cash,9.0,254.61,23.13,2291.4900000000002,4,2,2023,1
8531,2023-10-31,CUST599,Toys,West,In-store,Credit Card,1.0,280.62,22.4,280.62,10,4,2023,1
5336,2023-05-31,CUST606,Books,West,Online,Cash,6.0,87.63,26.07,525.78,5,2,2023,1
7018,2023-04-30,CUST321,Clothing,South,Online,Bank Transfer,10.0,234.5,4.78,2345.0,4,2,2023,1
7331,2023-05-31,CUST422,Home & Kitchen,North,In-store,Bank Transfer,5.0,449.35,0.0,2246.75,5,2,2023,0
5317,2023-09-30,CUST551,Toys,South,Online,Credit Card,7.0,273.16,0.0,1912.1200000000001,9,3,2023,0
4981,2023-06-30,CUST134,Clothing,East,In-store,Bank Transfer,16.0,478.31,14.23,7652.96,6,2,2023,1
4286,2023-04-30,CUST508,Beauty,North,In-store,Credit Card,3.0,202.81,0.0,608.4300000000001,4,2,2023,0
6984,2023-03-31,CUST811,Toys,South,Online,Bank Transfer,17.0,446.13,28.71,7584.21,3,1,2023,1
5729,2023-05-31,CUST301,Clothing,North,In-store,Bank Transfer,18.0,444.96,0.0,8009.28,5,2,2023,0
2252,2023-12-31,CUST850,Electronics,East,In-store,Debit Card,10.0,259.97,0.2,2599.7000000000003,12,4,2023,1
3240,2023-03-31,CUST380,Home & Kitchen,South,Online,Bank Transfer,11.0,329.59,14.25,3625.49,3,1,2023,1
1785,2023-07-31,CUST873,Home & Kitchen,East,In-store,Debit Card,8.0,280.62,15.34,2244.96,7,3,2023,1
9678,2023-06-30,CUST164,Electronics,West,In-store,Bank Transfer,13.0,410.08,49.52,5331.04,6,2,2023,1
4991,2023-03-31,CUST746,Toys,West,Online,Debit Card,12.0,448.38,0.0,5380.5599999999995,3,1,2023,0
6722,2023-04-30,CUST665,Electronics,South,Online,Cash,8.0,280.62,2.01,2244.96,4,2,2023,1
5050,2023-04-30,CUST673,Clothing,South,Online,Debit Card,8.0,381.19,43.63,3049.52,4,2,2023,1
9930,2023-07-31,CUST538,Beauty,East,Online,Debit Card,1.0,102.67,36.71,102.67,7,3,2023,1
4748,2023-06-30,CUST173,Beauty,South,Online,Debit Card,20.0,147.62,37.14,2952.4,6,2,2023,1
4168,2023-10-31,CUST321,Books,South,Online,Debit Card,9.0,191.49,35.26,1723.41,10,4,2023,1
4121,2023-11-30,CUST176,Toys,South,Online,Bank Transfer,8.0,489.99,0.0,3919.92,11,4,2023,0
1689,2023-02-28,CUST183,Clothing,North,Online,Cash,7.0,261.04,35.01,1827.2800000000002,2,1,2023,1
9772,2023-01-31,CUST239,Clothing,North,Online,Cash,10.0,301.19,7.9,3011.9,1,1,2023,1
9172,2023-10-31,CUST571,Electronics,East,In-store,Bank Transfer,7.0,280.62,2.27,1964.3400000000001,10,4,2023,1
8391,2023-10-31,CUST730,Books,East,Online,Debit Card,7.0,107.42,36.59,751.94,10,4,2023,1
6037,2023-03-31,CUST865,Clothing,South,Online,Credit Card,20.0,493.42,8.09,9868.4,3,1,2023,1
7951,2023-09-30,CUST670,Home & Kitchen,West,In-store,Debit Card,10.0,351.39,42.08,3513.8999999999996,9,3,2023,1
6630,2023-02-28,CUST734,Beauty,South,In-store,Credit Card,9.0,216.77,44.46,1950.93,2,1,2023,1
