Order ID,Order Date,Customer ID,Product Category,Region,Sales Channel,Payment Method,Quantity Sold,Price Per Unit,Discount Amount,Total Sales
1446,2023-06-30,CUST660,Beauty,North,Online,Debit Card,3.0,324.53,5.56,973.5899999999999
2479,2023-02-28,CUST776,Clothing,East,In-store,Bank Transfer,20.0,264.23,6.3,5284.6
6356,2023-01-31,CUST858,Clothing,East,In-store,Credit Card,20.0,328.12,27.21,6562.4
6436,2023-07-31,CUST863,Beauty,East,Online,Credit Card,4.0,473.94,25.55,405.11
5420,2023-02-28,CUST688,Toys,West,Online,Debit Card,,453.33,33.93,
9556,2023-10-31,CUST533,Electronics,South,In-store,Cash,20.0,364.91,41.99,7298.200000000001
2843,2023-04-30,CUST986,Clothing,North,In-store,Cash,9.0,254.61,23.13,2291.4900000000002
8531,2023-10-31,CUST599,Toys,West,In-store,Credit Card,1.0,,22.4,
5336,2023-05-31,CUST606,Books,West,Online,Cash,6.0,87.63,26.07,525.78
7018,2023-04-30,CUST321,Clothing,South,Online,Bank Transfer,,234.5,4.78,
7331,2023-05-31,CUST422,Home & Kitchen,North,In-store,Bank Transfer,5.0,449.35,,2246.75
5317,2023-09-30,CUST551,Toys,South,Online,Credit Card,7.0,273.16,,1912.1200000000001
4981,2023-06-30,CUST134,Clothing,East,In-store,Bank Transfer,16.0,478.31,14.23,7652.96
4286,2023-04-30,CUST508,Beauty,North,In-store,Credit Card,3.0,202.81,,608.4300000000001
6984,2023-03-31,CUST811,Toys,South,Online,Bank Transfer,17.0,446.13,28.71,569.41
5729,2023-05-31,CUST301,Clothing,North,In-store,Bank Transfer,18.0,444.96,,8009.28
2252,2023-12-31,CUST850,Electronics,East,In-store,Debit Card,,259.97,0.2,
3240,2023-03-31,CUST380,Home & Kitchen,South,Online,Bank Transfer,11.0,329.59,14.25,3625.49
1785,2023-07-31,CUST873,Home & Kitchen,East,In-store,Debit Card,8.0,,15.34,
9678,2023-06-30,CUST164,Electronics,West,In-store,Bank Transfer,13.0,410.08,49.52,5331.04
4991,2023-03-31,CUST746,Toys,West,Online,Debit Card,12.0,448.38,,5380.5599999999995
6722,2023-04-30,CUST665,Electronics,South,Online,Cash,8.0,,2.01,
5050,2023-04-30,CUST673,Clothing,South,Online,Debit Card,8.0,381.19,43.63,3049.52
9930,2023-07-31,CUST538,Beauty,East,Online,Debit Card,1.0,102.67,36.71,102.67
